Entity,Developed
Afghanistan,No
Albania,No
Algeria,No
Andorra,Yes
Angola,No
Antigua and Barbuda,No
Argentina,No
Armenia,No
Australia,Yes
Austria,Yes
Azerbaijan,No
Bahamas,Yes
Bahrain,Yes
Bangladesh,No
Barbados,Yes
Belarus,No
Belgium,Yes
Belize,No
Benin,No
Bhutan,No
Bolivia,No
Bosnia and Herzegovina,No
Botswana,No
Brazil,No
Brunei,Yes
Bulgaria,Yes
Burkina Faso,No
Burundi,No
Cabo Verde,No
Cambodia,No
Cameroon,No
Canada,Yes
Central African Republic,No
Chad,No
Chile,Yes
China,No
Colombia,No
Comoros,No
Congo (Congo-Brazzaville),No
Congo (Democratic Republic),No
Costa Rica,No
Croatia,Yes
Cuba,No
Cyprus,Yes
Czech Republic,Yes
Denmark,Yes
Djibouti,No
Dominica,No
Dominican Republic,No
Ecuador,No
Egypt,No
El Salvador,No
Equatorial Guinea,No
Eritrea,No
Estonia,Yes
Eswatini,No
Ethiopia,No
Fiji,No
Finland,Yes
France,Yes
Gabon,No
Gambia,No
Georgia,No
Germany,Yes
Ghana,No
Greece,Yes
Grenada,No
Guatemala,No
Guinea,No
Guinea-Bissau,No
Guyana,No
Haiti,No
Honduras,No
Hungary,Yes
Iceland,Yes
India,No
Indonesia,No
Iran,No
Iraq,No
Ireland,Yes
Israel,Yes
Italy,Yes
Ivory Coast,No
Jamaica,No
Japan,Yes
Jordan,No
Kazakhstan,No
Kenya,No
Kiribati,No
Kuwait,Yes
Kyrgyzstan,No
Laos,No
Latvia,Yes
Lebanon,No
Lesotho,No
Liberia,No
Libya,No
Liechtenstein,Yes
Lithuania,Yes
Luxembourg,Yes
Madagascar,No
Malawi,No
Malaysia,No
Maldives,No
Mali,No
Malta,Yes
Marshall Islands,No
Mauritania,No
Mauritius,No
Mexico,No
Micronesia,No
Moldova,No
Monaco,Yes
Mongolia,No
Montenegro,No
Morocco,No
Mozambique,No
Myanmar,No
Namibia,No
Nauru,No
Nepal,No
Netherlands,Yes
New Zealand,Yes
Nicaragua,No
Niger,No
Nigeria,No
North Korea,No
North Macedonia,No
Norway,Yes
Oman,Yes
Pakistan,No
Palau,No
Panama,No
Papua New Guinea,No
Paraguay,No
Peru,No
Philippines,No
Poland,Yes
Portugal,Yes
Qatar,Yes
Romania,Yes
Russia,Yes
Rwanda,No
Saint Kitts and Nevis,No
Saint Lucia,No
Saint Vincent and the Grenadines,No
Samoa,No
San Marino,Yes
Sao Tome and Principe,No
Saudi Arabia,Yes
Senegal,No
Serbia,No
Seychelles,No
Sierra Leone,No
Singapore,Yes
Slovakia,Yes
Slovenia,Yes
Solomon Islands,No
Somalia,No
South Africa,No
South Korea,Yes
South Sudan,No
Spain,Yes
Sri Lanka,No
Sudan,No
Suriname,No
Sweden,Yes
Switzerland,Yes
Syria,No
Taiwan,Yes
Tajikistan,No
Tanzania,No
Thailand,No
Timor-Leste,No
Togo,No
Tonga,No
Trinidad and Tobago,No
Tunisia,No
Turkey,No
Turkmenistan,No
Tuvalu,No
Uganda,No
Ukraine,No
United Arab Emirates,Yes
United Kingdom,Yes
United States,Yes
Uruguay,Yes
Uzbekistan,No
Vanuatu,No
Vatican City,Yes
Venezuela,No
Vietnam,No
Yemen,No
Zambia,No
Zimbabwe,No
